technique;source;target;interaction_number;locator_number;interactions;locators;tests;found time
akaze_fullscreen;Nexus S;Pixel 3;167;50;164;49;27;710
akaze_fullscreen;Nexus S;Pixel 3A;167;50;137;48;26;720
akaze_fullscreen;Pixel 3;Nexus5;170;52;167;50;28;1210
akaze_fullscreen;Pixel 3;Nexus5x;170;52;166;49;27;1230
akaze_fullscreen;Pixel 3;Pixel 2xl;170;52;166;49;27;1670
akaze_fullscreen;Pixel 3;Pixel;170;52;166;49;27;1230
akaze_fullscreen;Pixel 3;Pixel XL;170;52;166;50;27;1560
akaze_fullscreen;Pixel 3;Pixel 3XL;170;52;163;48;21;1710
akaze_fullscreen;Pixel 3;Nexus 4;170;52;160;47;24;990
akaze_fullscreen;Pixel 3;Nexus S;167;50;138;40;8;740
akaze_fullscreen;Pixel 3;Pixel 3a XL;170;52;166;50;27;1260
akaze_fullscreen;Pixel 3;Nexus 6 ;170;52;166;50;27;1570
akaze_fullscreen;Pixel 3;Nexus 6p;170;52;159;48;25;1590
akaze_fullscreen;Pixel 3;Pixel 2;170;52;160;49;26;1250
akaze_fullscreen;Pixel 3;Pixel 3;170;52;169;52;30;1290
akaze_fullscreen;Pixel 3;Pixel 3A;170;52;167;51;28;1330
sift_fullscreen;Nexus5;Nexus5;170;52;169;52;30;1480
sift_fullscreen;Nexus5;Nexus5x;170;52;167;51;28;1300
sift_fullscreen;Nexus5;Pixel 2xl;170;52;167;50;29;1990
sift_fullscreen;Nexus5;Pixel;170;52;167;51;28;1240
sift_fullscreen;Nexus5;Pixel XL;170;52;168;52;29;1730
sift_fullscreen;Nexus5;Pixel 3XL;170;52;165;49;26;1860
sift_fullscreen;Nexus5;Nexus 4;170;52;156;47;18;1020
sift_fullscreen;Nexus5;Nexus S;167;50;147;44;13;830
sift_fullscreen;Nexus5;Pixel 3a XL;170;52;162;49;23;1310
sift_fullscreen;Nexus5;Nexus 6 ;170;52;168;52;29;2040
sift_fullscreen;Nexus5;Nexus 6p;170;52;161;50;27;1800
sift_fullscreen;Nexus5;Pixel 2;170;52;159;49;27;1350
sift_fullscreen;Nexus5;Pixel 3;170;52;166;51;27;1290
sift_fullscreen;Nexus5;Pixel 3A;170;52;166;51;27;1420
sift_fullscreen;Nexus S;Nexus5;167;50;162;49;26;780
sift_fullscreen;Nexus S;Nexus5x;167;50;138;48;4;790
sift_fullscreen;Nexus S;Pixel 2xl;167;50;135;47;3;1390
sift_fullscreen;Nexus S;Pixel;167;50;135;47;3;780
sift_fullscreen;Nexus S;Pixel XL;167;50;158;47;23;1220
